2,K6LNK, San Francisco
3,K6LNK, Pt. Arena
4,K6LNK, Greenfield
5,K6LNK, Oakland
6,K6LNK, Willows
7,K6LNK, San Jose
8,K6LNK, South Lake Tahoe
9,K6LNK, Modesto
10,K6LNK, Monterey Bay
11,K6LNK, Walnut Creek
12,K6LNK, Pleasanton
13,K6LNK, Shasta Lake
14,K6LNK, Cisco Grove
15,K6LNK, Fresno
16,K6LNK, Sacramento
17,K6LNK, Sonora
18,K6LNK, Topaz Lake
19,K6LNK, Hayward
20,K6LNK, Burney
21,K6LNK, Reno
22,K6LNK, Hawthorne
23,K6LNK, North Lake Tahoe
24,K6LNK, Carson Valley
25,K6LNK, Redding
26,K6LNK, Geyserville
27,K6LNK, Quincy
28,K6LNK, Mt. Shasta
29,K6LNK, San Luis Obispo
30,K6LNK, Bakersfield
31,K6LNK, Los Angeles
32,K6LNK, Pacifica
33,K6LNK, Gualala
34,K6LNK,
35,K6LNK, Oakland
36,K6LNK, Willows
