Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE,,Latitude,Longitude
53,N6ZX,440.45,+,5,Tone,107.2,88.5,23,NN,FM,5,,Woodside,,,,,,37.43,-122.25277
54,N6ZX,145.37,-,0.6,Tone,107.2,107.2,23,NN,FM,5,,Woodside,,,,,,37.43,-122.25277
55,N6ZX,53.64,-,0.5,Tone,114.8,88.5,23,NN,FM,5,,Woodside,,,,,,37.43,-122.25277
56,WB6ECE,441.3,+,5,Tone,123,88.5,23,NN,FM,5,,Woodside,,,,,,37.43,-122.25277
57,WB5NVN,146.085,+,0.6,Tone,100,100,23,NN,FM,5,,Portola Valley,,,,,,37.384106,-122.23524
58,KU6V,444.9,+,5,Tone,110.9,88.5,23,NN,FM,5,,"San Jose, Santa Cruz Mountains",,,,,,37.339439,-121.89389
59,N6NAC,224.06,-,1.6,Tone,110.9,88.5,23,NN,FM,5,,Bonny Doon,,,,,,37.339439,-121.89389
60,W6SCF,146.73,-,0.6,Tone,114.8,88.5,23,NN,FM,5,,La Honda,,,,,,37.319172,-122.27306
61,WA6DQP,440.1,+,5,Tone,114.8,88.5,23,NN,FM,5,,La Honda,,,,,,37.319172,-122.27306
62,N6QZH,442.325,+,5,,88.5,88.5,23,NN,FM,5,,Pescadero,,,,,,37.25533,-122.3959
63,KE6MNJ,146.625,-,0.6,Tone,114.8,88.5,23,NN,FM,5,,Pescadero,,,,,,37.255001,-122.38028
64,K9GVF,442.175,+,5,Tone,100,88.5,23,NN,FM,5,,"Campbell, Crystal Peak",,,,,,37.226669,-121.97361
65,KI6YDR,145.35,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,Boulder Creek,,,,,,37.1261,-122.122
66,K6DND,927.9125,-,25,Tone,167.9,88.5,23,NN,FM,5,,"Los Gatos, Crystal Peak",,,,,,37.11311,-121.83579
67,W6YYY,440.0375,+,5,,88.5,88.5,23,NN,DIG,5,,"Morgan Hill, Loma Prieta",,,,,,37.110918,-121.844279
68,AE6KE,146.835,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,"Santa Cruz, Loma Prieta",,,,,,37.110828,-121.84361
69,K6HLE,444.025,+,5,,88.5,88.5,23,NN,DIG,5,,"San Jose, Loma Prieta",,,,,,37.110828,-121.84361
70,K6JSI,442.9,+,5,Tone,162.2,88.5,23,NN,FM,5,,"San Jose, Loma Prieta",,,,,,37.110828,-121.84361
71,WB6OQS,224.26,-,1.6,Tone,123,88.5,23,NN,FM,5,,"San Jose, Loma Prieta",,,,,,37.110828,-121.84361
72,WB6OQS,146.76,-,0.6,Tone,151.4,88.5,23,NN,FM,5,,"San Jose, Loma Prieta",,,,,,37.110828,-121.84361
73,WR6ABD,146.64,-,0.6,Tone,162.2,88.5,23,NN,FM,5,,"San Jose,  Loma Prieta",,,,,,37.110828,-121.84361
74,AC6P,145.31,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,37.1041667,-122.04166
75,WR6AOK,147.12,+,0.6,Tone,94.8,88.5,23,NN,FM,5,,Ben Lomond,,,,,,37.089199,-122.08499
76,WR6AOK,52.8,-,1,Tone,114.8,88.5,23,NN,FM,5,,Ben Lomond,,,,,,37.089199,-122.08499
77,W6JWS,440.85,+,5,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,37.051392,-122.07222
78,W6MOW,927.925,split,902.0375,DTCS,88.5,88.5,205,NN,FM,5,,Felton,,,,,,37.051392,-122.07222
79,W6WLS,444,+,5,Tone,94.8,94.8,23,NN,FM,5,,Scotts Valley,,,,,,37.051392,-122.07222
80,W6DXW,442.75,+,5,Tone,110.9,110.9,23,NN,P25,5,,"Santa Cruz, Empire Grade",,,,,,36.979682,-122.058962
81,W6JWS,146.745,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,"Felton, Empire Grade",,,,,,36.979682,-122.058962
82,W6WLS,147.18,+,0.6,Tone,94.8,94.8,23,NN,P25,5,,"Santa Cruz, Empire Grade",,,,,,36.979682,-122.058962
83,KE6IEL,52.68,-,1,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.9791667,-121.95833
84,WA6HHQ,441.925,+,5,Tone,100,88.5,23,NN,FM,5,,Aptos,,,,,,36.977219,-121.89833
85,K6BJ,440.925,+,5,Tone,123,88.5,23,NN,Auto,5,,Santa Cruz,,,,,,36.976735,-122.0236
86,K6BJ,146.79,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.976735,-122.0236
87,AB6VS,440.55,+,5,Tone,94.8,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.974171,-122.02971
88,N7WG,441.675,+,5,Tone,123,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.974171,-122.02971
89,W6REB,927.2875,-,25,DTCS,88.5,88.5,423,NN,FM,5,,Santa Cruz,,,,,,36.974171,-122.02971
90,WB6PHE,443.475,+,5,Tone,127.3,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.974171,-122.02971
91,K6HJU,29.66,-,0.1,Tone,156.7,88.5,23,NN,FM,5,,Santa Cruz,,,,,,36.974117,-122.03079
92,K6DRI,145,split,147.5,,88.5,88.5,23,NN,DV,5,,Santa Cruz,CQCQCQ,,,0,,36.9741,-122.031
93,K6RMW,147,+,0.6,Tone,94.8,94.8,23,NN,FM,5,,"Watsonville, Hospital",,,,,,36.927898,-121.79424
94,CFD T27,155.745,,,Tone,162.2,88.5,23,NN,FM,5,,SMCFD Tac 27,,,,,,37.485214,-122.236359
95,CFD T17,155.4,,,Tone,141.3,88.5,23,NN,FM,5,,SMCFD Tac 17,,,,,,37.485214,-122.236359
96,CFD T37,155.4,,,Tone,107.2,88.5,23,NN,FM,5,,SMCFD Tac 37,,,,,,37.485214,-122.236359
97,CFD CM11,154.37,,,Tone,114.8,88.5,23,NN,FM,5,,SMCFD Command 11,,,,,,37.485214,-122.236359
98,CFD T25,154.145,,,Tone,118.8,88.5,23,NN,FM,5,,SMCFD Tac 25,,,,,,37.485214,-122.236359
99,CFD CN3,154.1,,,Tone,114.8,88.5,23,NN,FM,5,,SMCFD Control 3,,,,,,37.485214,-122.236359
100,CFD T15,154.04,,,Tone,118.8,88.5,23,NN,FM,5,,SMCFD Tac 15,,,,,,37.485214,-122.236359
101,CFD T36,154.04,,,Tone,162.2,88.5,23,NN,FM,5,,SMCFD Tac 36,,,,,,37.485214,-122.236359
102,CFD T16,154.01,,,Tone,110.9,88.5,23,NN,FM,5,,SMCFD Tac 16,,,,,,37.485214,-122.236359
103,CFD T35,154.01,,,Tone,118.8,88.5,23,NN,FM,5,,SMCFD Tac 35,,,,,,37.485214,-122.236359
104,CFD CM21,153.95,,,Tone,114.8,88.5,23,NN,FM,5,,SMCFD Command 21,,,,,,37.485214,-122.236359
105,CFD CN1A,153.89,,,Tone,114.8,88.5,23,NN,FM,5,,SMCFD Control 1A,,,,,,37.485214,-122.236359
106,CFD T26,153.83,,,Tone,110.9,88.5,23,NN,FM,5,,SMCFD Tac 26,,,,,,37.485214,-122.236359
107,CFD CN2,153.785,,,Tone,156.7,88.5,23,NN,FM,5,,SMCFD Control 2,,,,,,37.485214,-122.236359
108,CFD CM51,151.475,,,Tone,167.9,88.5,23,NN,FM,5,,SMCFD Command 51,,,,,,37.485214,-122.236359
109,CFD CM31,151.085,,,Tone,123,88.5,23,NN,FM,5,,SMCFD Command 31 – Pescadero,,,,,,37.485214,-122.236359
110,CFD CM41,155.895,,,Tone,114.8,88.5,23,NN,FM,5,,SMCFD Command 41,,,,,,37.46467,-122.44018
111,CFD T47,155.745,,,Tone,123,88.5,23,NN,FM,5,,SMCFD Tac 47,,,,,,37.46467,-122.44018
112,CFD T46,154.445,,,Tone,146.2,88.5,23,NN,FM,5,,SMCFD Tac 46,,,,,,37.46467,-122.44018
113,HMBDISP,154.34,,0,Tone,114.8,88.5,23,NN,FM,5,,SMCFD Half Moon Bay Dispatch,,,,,,37.46467,-122.44018
114,CFD T45,153.83,,,Tone,141.3,88.5,23,NN,FM,5,,SMCFD Tac 45,,,,,,37.46467,-122.44018
115,LAHDISP,154.235,,0,Tone,114.8,88.5,23,NN,FM,5,,SMCFD La Honda Dispatch,,,,,,37.31512,-122.27465
116,PIGDISP,154.145,,0,Tone,114.8,88.5,23,NN,FM,5,,SMCFD Pigeon Point Dispatch,,,,,,37.19074,-122.38339
